model,description,fit_params,split,rmse,mae,r2,rmse_dollars,mae_dollars
global_median,median of the train target for every deal,median=-2.9167,train,1.1527,1.0069,-0.0021,0.105,0.071
global_median,median of the train target for every deal,median=-2.9167,val,1.0276,0.8801,-0.0,0.106,0.066
global_median,median of the train target for every deal,median=-2.9167,test,0.9784,0.8192,-0.0067,0.104,0.065
segment_median_years_pro,"train median per years_pro bucket (0,1-3,4-6,7-9,10+)","{""0"": -4.332629, ""1-3"": -2.8075085, ""4-6"": -2.5672775, ""7-9"": -1.960817, ""10+"": -2.4042459999999997}",train,0.8759,0.6944,0.4214,0.088,0.057
segment_median_years_pro,"train median per years_pro bucket (0,1-3,4-6,7-9,10+)","{""0"": -4.332629, ""1-3"": -2.8075085, ""4-6"": -2.5672775, ""7-9"": -1.960817, ""10+"": -2.4042459999999997}",val,0.9066,0.7259,0.2215,0.093,0.061
segment_median_years_pro,"train median per years_pro bucket (0,1-3,4-6,7-9,10+)","{""0"": -4.332629, ""1-3"": -2.8075085, ""4-6"": -2.5672775, ""7-9"": -1.960817, ""10+"": -2.4042459999999997}",test,0.859,0.7069,0.2241,0.089,0.062
segment_median_prior_mpg,"train median per prior_mpg bucket (<10,10-20,20-30,30+)","{""<10"": -4.131628, ""10-20"": -3.525075, ""20-30"": -3.149883, ""30+"": -1.409717}",train,0.8922,0.7385,0.3997,0.068,0.048
segment_median_prior_mpg,"train median per prior_mpg bucket (<10,10-20,20-30,30+)","{""<10"": -4.131628, ""10-20"": -3.525075, ""20-30"": -3.149883, ""30+"": -1.409717}",val,0.7087,0.5948,0.5244,0.062,0.043
segment_median_prior_mpg,"train median per prior_mpg bucket (<10,10-20,20-30,30+)","{""<10"": -4.131628, ""10-20"": -3.525075, ""20-30"": -3.149883, ""30+"": -1.409717}",test,0.7473,0.6018,0.4127,0.069,0.046
tobit_ceiling,"Tobit MLE, right-censored at log(max_tier_aav_pct), relative 3% band (15 censored train)","{""tol"": 0.03, ""n_cens_train"": 15, ""sigma"": 0.4773, ""converged"": true}",train,0.4642,0.3581,0.8375,0.039,0.025
tobit_ceiling,"Tobit MLE, right-censored at log(max_tier_aav_pct), relative 3% band (15 censored train)","{""tol"": 0.03, ""n_cens_train"": 15, ""sigma"": 0.4773, ""converged"": true}",val,0.4429,0.3515,0.8143,0.041,0.026
tobit_ceiling,"Tobit MLE, right-censored at log(max_tier_aav_pct), relative 3% band (15 censored train)","{""tol"": 0.03, ""n_cens_train"": 15, ""sigma"": 0.4773, ""converged"": true}",test,0.4909,0.3881,0.7466,0.048,0.031
quantile_median,"QuantileRegressor tau=0.50 (prediction-interval median), walk-forward alpha tuning","{""tau"": 0.5, ""alpha"": 0.05}",train,0.534,0.3923,0.785,0.055,0.03
quantile_median,"QuantileRegressor tau=0.50 (prediction-interval median), walk-forward alpha tuning","{""tau"": 0.5, ""alpha"": 0.05}",val,0.4399,0.3345,0.8167,0.048,0.026
quantile_median,"QuantileRegressor tau=0.50 (prediction-interval median), walk-forward alpha tuning","{""tau"": 0.5, ""alpha"": 0.05}",test,0.4611,0.3609,0.7764,0.055,0.033
linear_controls_only,"elastic net on 36 features (0 stats), walk-forward-CV penalty","{""alpha"": 0.07626985859023444, ""l1_ratio"": 0.9, ""n_nonzero_total"": 9}",train,0.6207,0.5155,0.7094,0.062,0.039
linear_controls_only,"elastic net on 36 features (0 stats), walk-forward-CV penalty","{""alpha"": 0.07626985859023444, ""l1_ratio"": 0.9, ""n_nonzero_total"": 9}",val,0.6609,0.5584,0.5863,0.066,0.043
linear_controls_only,"elastic net on 36 features (0 stats), walk-forward-CV penalty","{""alpha"": 0.07626985859023444, ""l1_ratio"": 0.9, ""n_nonzero_total"": 9}",test,0.7077,0.5796,0.4734,0.073,0.049
linear_interpretable,"elastic net on 60 features (24 stats), walk-forward-CV penalty","{""alpha"": 0.13111339374215644, ""l1_ratio"": 0.3, ""n_nonzero_total"": 23}",train,0.5103,0.4135,0.8036,0.055,0.031
linear_interpretable,"elastic net on 60 features (24 stats), walk-forward-CV penalty","{""alpha"": 0.13111339374215644, ""l1_ratio"": 0.3, ""n_nonzero_total"": 23}",val,0.4697,0.3851,0.7911,0.051,0.03
linear_interpretable,"elastic net on 60 features (24 stats), walk-forward-CV penalty","{""alpha"": 0.13111339374215644, ""l1_ratio"": 0.3, ""n_nonzero_total"": 23}",test,0.4815,0.3875,0.7562,0.053,0.033
linear_all_stats,"elastic net on 80 features (44 stats), walk-forward-CV penalty","{""alpha"": 0.07626985859023444, ""l1_ratio"": 0.7, ""n_nonzero_total"": 18}",train,0.5155,0.418,0.7996,0.056,0.032
linear_all_stats,"elastic net on 80 features (44 stats), walk-forward-CV penalty","{""alpha"": 0.07626985859023444, ""l1_ratio"": 0.7, ""n_nonzero_total"": 18}",val,0.4701,0.3868,0.7907,0.051,0.03
linear_all_stats,"elastic net on 80 features (44 stats), walk-forward-CV penalty","{""alpha"": 0.07626985859023444, ""l1_ratio"": 0.7, ""n_nonzero_total"": 18}",test,0.481,0.3892,0.7567,0.054,0.033
linear_posinter,"chosen set + box-score stats + hypothesis pos x stat interactions (ast x PG, ppg x SG, blk x C, trb x C)","{""alpha"": 0.13111339374215644, ""l1_ratio"": 0.3, ""n_nonzero_total"": 24}",train,0.5102,0.4133,0.8037,0.055,0.031
linear_posinter,"chosen set + box-score stats + hypothesis pos x stat interactions (ast x PG, ppg x SG, blk x C, trb x C)","{""alpha"": 0.13111339374215644, ""l1_ratio"": 0.3, ""n_nonzero_total"": 24}",val,0.4694,0.3847,0.7913,0.051,0.03
linear_posinter,"chosen set + box-score stats + hypothesis pos x stat interactions (ast x PG, ppg x SG, blk x C, trb x C)","{""alpha"": 0.13111339374215644, ""l1_ratio"": 0.3, ""n_nonzero_total"": 24}",test,0.4814,0.3875,0.7563,0.053,0.033
rf_default,RandomForest default params,"n_estimators=100, defaults",train,0.1605,0.1153,0.9806,0.016,0.009
rf_default,RandomForest default params,"n_estimators=100, defaults",val,0.4245,0.3175,0.8293,0.036,0.024
rf_default,RandomForest default params,"n_estimators=100, defaults",test,0.4288,0.3178,0.8066,0.041,0.026
gb_default,GradientBoosting default params,"n_estimators=100, lr=0.1, defaults",train,0.294,0.2158,0.9348,0.024,0.016
gb_default,GradientBoosting default params,"n_estimators=100, lr=0.1, defaults",val,0.3848,0.2831,0.8598,0.038,0.023
gb_default,GradientBoosting default params,"n_estimators=100, lr=0.1, defaults",test,0.441,0.332,0.7955,0.043,0.028
rf_tuned,"RandomForest, walk-forward tuned","{""params"": {""n_estimators"": 700, ""min_samples_leaf"": 2, ""max_features"": 0.3, ""max_depth"": null}, ""wf_mean_rmse"": 0.4146}",train,0.2009,0.142,0.9696,0.018,0.011
rf_tuned,"RandomForest, walk-forward tuned","{""params"": {""n_estimators"": 700, ""min_samples_leaf"": 2, ""max_features"": 0.3, ""max_depth"": null}, ""wf_mean_rmse"": 0.4146}",val,0.3989,0.2874,0.8493,0.038,0.023
rf_tuned,"RandomForest, walk-forward tuned","{""params"": {""n_estimators"": 700, ""min_samples_leaf"": 2, ""max_features"": 0.3, ""max_depth"": null}, ""wf_mean_rmse"": 0.4146}",test,0.4239,0.3115,0.8111,0.041,0.025
gb_tuned,"GradientBoosting, walk-forward tuned","{""params"": {""subsample"": 0.8, ""n_estimators"": 300, ""min_samples_leaf"": 10, ""max_depth"": 3, ""learning_rate"": 0.02}, ""wf_mean_rmse"": 0.4208}",train,0.3356,0.2473,0.9151,0.028,0.018
gb_tuned,"GradientBoosting, walk-forward tuned","{""params"": {""subsample"": 0.8, ""n_estimators"": 300, ""min_samples_leaf"": 10, ""max_depth"": 3, ""learning_rate"": 0.02}, ""wf_mean_rmse"": 0.4208}",val,0.4115,0.3032,0.8396,0.039,0.024
gb_tuned,"GradientBoosting, walk-forward tuned","{""params"": {""subsample"": 0.8, ""n_estimators"": 300, ""min_samples_leaf"": 10, ""max_depth"": 3, ""learning_rate"": 0.02}, ""wf_mean_rmse"": 0.4208}",test,0.4282,0.3177,0.8072,0.041,0.026
